name,team,kills,deaths,attacker_x,attacker_y,attacker_z,attacker_flash,attacker_alive,attacker_scoped,attacker_speed,attacker_isbot,attacker_pitch,attacker_yaw,attacker_ducked,victim_name,victim_team,victim_kills,victim_deaths,victim_x,victim_y,victim_z,victim_flash,victim_alive,victim_scoped,victim_speed,victim_isbot,victim_pitch,victim_yaw,victim_ducked,isWallbang,isHeadshot,isNoScope,isHacker
n00bie,2,24,0,1139.451416015625,2144.8876953125,1.8831932544708252,0,true,false,48.401330301559305,false,357.5830078125,35.343017578125,0,Ulysses,3,1,6,1475,2387.5,21.364421844482422,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,25,0,1322.048095703125,2766.183349609375,116.59463500976562,0,true,false,0,false,4.8504638671875,202.1649169921875,0,Opie,3,0,3,1062.5,2662.5,95.11642456054688,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,26,0,272.2168884277344,2135.130615234375,-127.08689880371094,0,true,false,0,false,359.1705322265625,97.44873046875,0,Yuri,3,1,5,225,2437.5,-121.11369323730469,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,27,0,121.82804870605469,2082.0595703125,-124.94125366210938,0,true,false,0,false,354.8748779296875,174.979248046875,0,Wally,0,1,4,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,28,0,-1329.9486083984375,2193.2294921875,2.355419158935547,0,true,false,0,false,359.2254638671875,92.7630615234375,0,Oliver,0,1,4,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,30,0,-1421.671630859375,2174.870361328125,0.1844853162765503,0,true,false,52.66209241828657,false,359.835205078125,161.3946533203125,0,Lester,0,0,4,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,31,0,-388.1234436035156,641.5442504882812,-0.45994171500205994,0,true,false,0,false,5.4766845703125,92.8125,1,Yuri,0,1,7,-412.5,987.5,-49.95709991455078,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,31,0,319.2593078613281,-240.90676879882812,-0.803070068359375,0,true,false,0,false,359.2474365234375,258.42041015625,1,Lester,0,0,4,200,-787.5,-9.869072914123535,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,32,0,-422.52984619140625,-745.516357421875,99.623291015625,0,true,false,0,false,358.3685302734375,186.943359375,1,Ulysses,0,1,7,-1587.5,-887.5,116.71302795410156,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,33,0,-1603.3731689453125,331.04364013671875,2.719468593597412,0,true,false,0,false,351.1285400390625,100.2996826171875,1,Waldo,0,3,6,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,34,0,-2031.7686767578125,2008.67724609375,0.022314071655273438,0,true,false,0,false,358.43994140625,23.22509765625,1,Waldo,0,3,7,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,35,0,1137.9649658203125,2085.369873046875,1.1956310272216797,0,true,false,0,false,355.4791259765625,41.2591552734375,1,Oliver,0,1,5,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,36,0,1137.9649658203125,2085.369873046875,1.1956310272216797,0,true,false,0,false,0.7965087890625,144.6295166015625,1,Ulysses,0,1,8,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,37,0,1045.928955078125,942.9730834960938,-0.719390869140625,0,true,false,0,false,357.451171875,182.5433349609375,1,Niles,0,0,3,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,38,0,1045.928955078125,942.9730834960938,-0.719390869140625,0,true,false,0,false,357.330322265625,277.71240234375,1,Opie,0,0,4,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,39,0,-410.99114990234375,475.5655822753906,-4.4413909912109375,0,true,false,0,false,355.616455078125,268.5992431640625,0,Ulysses,0,1,9,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,40,0,-404.5576477050781,458.5163269042969,-5.1051025390625,0,true,false,27.969372741775818,false,5.07568359375,90.0604248046875,0,Oliver,0,1,6,-412.5,987.5,-49.95709991455078,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,41,0,-186.41110229492188,1385.5380859375,-0.12609481811523438,0,true,false,0,false,7.6849365234375,179.8187255859375,0,Lester,0,0,5,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,42,0,-0.9666218161582947,2093.270751953125,-126.16120910644531,0,true,false,56.935205192908846,false,359.5220947265625,55.909423828125,0,Wally,0,1,5,-822.364990234375,-795.6420288085938,214.70899963378906,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,43,0,1554.32080078125,803.179931640625,-8.951253890991211,0,true,false,0,false,17.0782470703125,252.1966552734375,0,Lester,0,0,6,1437.5,462.5,-117.0525894165039,0,false,false,0,true,0,0,0,0,1,0,0
n00bie,2,44,0,1554.32080078125,803.179931640625,-8.951253890991211,0,true,false,0,false,359.97802734375,100.0579833984375,0,Oliver,0,1,7,1350,1912.5,-6.462255954742432,0,false,false,0,true,0,0,0,0,1,0,0
